,record,precinct,ballot_style,rank1,rank2,rank3,rank4,rank5,does_not_rank_any_continuing_candidate,highest_continuing_rank,rank_choice_in_continuing_candidate_set,overvote,two_consecutive_skipped_rankings,exhausted,highest_ranked_continuing_candidate
671,1344,Fayette,CAN Ballot Style 130,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
846,1687,Houlton,CAN Ballot Style 153,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
1830,3685,Houlton,CAN Ballot Style 153,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
2296,4606,Houlton,CAN Ballot Style 153,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
2354,4729,Houlton,CAN Ballot Style 153,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
2602,5205,Houlton,CAN Ballot Style 153,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
2639,5276,Houlton,CAN Ballot Style 153,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
2734,5478,Houlton,CAN Ballot Style 153,undervote,"Bond, Tiffany L.",undervote,"REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"Bond, Tiffany L."
2783,5580,Sherman/Benedicta Twp/Silver Ridge Twp,CAN Ballot Style 106,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
3044,6081,Sherman/Benedicta Twp/Silver Ridge Twp,CAN Ballot Style 106,undervote,"REP Poliquin, Bruce",overvote,undervote,"Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
3162,6333,Sherman/Benedicta Twp/Silver Ridge Twp,CAN Ballot Style 106,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
3500,7026,Medway,CAN Ballot Style 118,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
4025,8059,Machias,CAN Ballot Style 109,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
4033,8083,Machias,CAN Ballot Style 109,undervote,"REP Poliquin, Bruce","Hoar, William R.S.",undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
4263,8527,Machias,CAN Ballot Style 109,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"Hoar, William R.S."
6842,13704,Calais,CAN Ballot Style 32,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
6969,13955,Calais,CAN Ballot Style 32,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
7187,14363,Cherryfield,CAN Ballot Style 4,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
7266,14533,Cherryfield,CAN Ballot Style 4,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
7346,14690,Cherryfield,CAN Ballot Style 4,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
7826,15659,Baileyville,CAN Ballot Style 32,undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",False,2,False,False,False,False,"REP Poliquin, Bruce"
8605,17226,Addison,CAN Ballot Style 4,undervote,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
8789,17596,Unity,CAN Ballot Style 65,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
8907,17829,Unity,CAN Ballot Style 65,undervote,"Bond, Tiffany L.","Hoar, William R.S.",undervote,overvote,False,2,False,False,False,False,"Bond, Tiffany L."
9368,18798,Unity,CAN Ballot Style 65,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
9905,19818,Swanville,CAN Ballot Style 132,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
11248,22528,Searsport,CAN Ballot Style 132,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
12100,24247,Searsport,CAN Ballot Style 132,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
13342,26753,Searsmont,CAN Ballot Style 172,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
14006,28028,Northport,CAN Ballot Style 42,undervote,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"Bond, Tiffany L."
